#,initState,algorithm,solvedState,timeMs,generatedStates,inMemoryStates
1,[ 0 0 0 0 0 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],112,105,113
1,[ 0 0 0 0 0 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],128,105,113

2,[ 1 0 0 0 0 0 0 0 ],BFS,[ 5 0 4 1 7 2 6 3 ],53,20,28
2,[ 1 0 0 0 0 0 0 0 ],RBFS,[ 5 0 4 1 7 2 6 3 ],7,20,28

3,[ 0 1 0 0 0 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],36,105,113
3,[ 0 1 0 0 0 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],45,105,113

4,[ 0 0 1 0 0 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],34,105,113
4,[ 0 0 1 0 0 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],24,105,113

5,[ 0 0 0 1 0 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],49,105,113
5,[ 0 0 0 1 0 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],22,105,113

6,[ 0 0 0 0 1 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],42,105,113
6,[ 0 0 0 0 1 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],24,105,113

7,[ 0 0 0 0 0 1 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],25,105,113
7,[ 0 0 0 0 0 1 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],20,105,113

8,[ 0 0 0 0 0 0 1 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],23,105,113
8,[ 0 0 0 0 0 0 1 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],25,105,113

9,[ 0 0 0 0 0 0 0 1 ],BFS,[ 0 6 4 7 1 3 5 2 ],13,105,113
9,[ 0 0 0 0 0 0 0 1 ],RBFS,[ 0 6 4 7 1 3 5 2 ],16,105,113

10,[ 2 0 0 0 0 0 0 0 ],BFS,[ 1 5 0 6 3 7 2 4 ],11,41,49
10,[ 2 0 0 0 0 0 0 0 ],RBFS,[ 1 5 0 6 3 7 2 4 ],3,41,49

11,[ 0 2 0 0 0 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],14,105,113
11,[ 0 2 0 0 0 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],10,105,113

12,[ 0 0 2 0 0 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],11,82,90
12,[ 0 0 2 0 0 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],6,82,90

13,[ 0 0 0 2 0 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],14,78,86
13,[ 0 0 0 2 0 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],6,78,86

14,[ 0 0 0 0 2 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],10,88,96
14,[ 0 0 0 0 2 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],6,88,96

15,[ 0 0 0 0 0 2 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],10,98,106
15,[ 0 0 0 0 0 2 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],7,98,106

16,[ 0 0 0 0 0 0 2 0 ],BFS,[ 0 5 7 2 6 3 1 4 ],11,161,169
16,[ 0 0 0 0 0 0 2 0 ],RBFS,[ 0 5 7 2 6 3 1 4 ],16,161,169

17,[ 0 0 0 0 0 0 0 2 ],BFS,[ 0 6 4 7 1 3 5 2 ],10,105,113
17,[ 0 0 0 0 0 0 0 2 ],RBFS,[ 0 6 4 7 1 3 5 2 ],7,105,113

18,[ 3 0 0 0 0 0 0 0 ],BFS,[ 1 4 6 0 2 7 5 3 ],8,19,27
18,[ 3 0 0 0 0 0 0 0 ],RBFS,[ 1 4 6 0 2 7 5 3 ],1,19,27

19,[ 0 3 0 0 0 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],12,67,75
19,[ 0 3 0 0 0 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],4,67,75

20,[ 0 0 3 0 0 0 0 0 ],BFS,[ 0 6 4 7 1 3 5 2 ],17,82,90
20,[ 0 0 3 0 0 0 0 0 ],RBFS,[ 0 6 4 7 1 3 5 2 ],5,82,90

